SP;NCOL;LT;DI;PLM ;FTLM;FTWM;FTLM/FTWM;STLM;STWM;STLM/STWM;LLM;MLWM;LLM/MLWM;WMPM;LLM/WMPM;DBMWM;LLM/DBMWM ;DLAUM;TLWM;DLAUM/TLWM;LLM/DLAUM;NTM;LFSDM;LSSDM;PLS;FTLS;FTWS;FTLS/FTWS;STLS;STWS;STLS/STWS;LLS;MLWS;LLS/MLWS;WMPS;LLS/WMPS;DLBMWS;LLS/DLBMWS;DLAUS;TLWS;DLAUS/TLWS;LLS/DLAUS;NTS;LFSDS;LSSDS
V.austriaca-aus;SALA157057;27;4933;0;102;90;114;223;151;148;2464;1068;231;868;284;922;267;293;296;99;840;867;0;0;0;26;47;56;20;24;83;3514;577;609;543;647;1692;208;964;378;255;364;533;0;0
V.austriaca-aus;SALA157051;19;9233;43;57;71;81;72;67;107;2249;594;379;496;453;417;539;237;138;172;948;1167;0;0;0;10;28;37;10;23;41;2038;323;632;282;724;1031;198;260;165;157;785;533;0;0
V.austriaca-aus;SALA155836;25;8300;0;729;138;530;373;147;254;2639;1072;246;815;324;1215;217;319;249;128;827;450;0;0;0;140;66;211;107;54;199;2349;418;562;349;673;1280;184;574;216;266;410;367;0;0
V.austriaca-aus;SALA157058;36;9233;0;467;93;504;464;145;319;2797;1273;220;955;293;925;303;328;174;189;854;633;0;0;0;95;88;107;54;59;91;3307;462;716;378;876;1854;178;292;161;181;1133;300;0;0
V.austriaca-jq;SALA124579;48;6233;0;540;90;600;641;110;583;1074;1202;89;962;112;481;223;216;203;106;497;433;90;207;0;669;74;904;276;76;363;869;654;133;644;135;574;151;286;191;150;304;300;245;0
V.austriaca-jq;SALA124576;43;4600;0;878;64;1372;1023;100;1023;1732;1856;93;1596;109;502;345;409;142;288;423;533;119;410;0;382;64;597;842;73;1153;1516;1271;119;943;161;674;225;604;163;371;251;300;0;0
V.austriaca-jq;SALA124581;42;3167;0;1288;66;1952;1284;92;1396;1724;2020;85;1929;89;909;190;405;123;329;426;533;87;452;68;1350;64;2109;676;81;835;2260;800;283;630;359;1460;155;887;110;806;255;300;0;0
V.austriaca-jq;SALA124583;46;4200;97;1389;231;601;1351;118;1145;2519;2297;110;1421;177;741;340;866;100;866;291;367;566;210;0;1430;88;1625;796;59;1349;2158;1017;212;488;442;1112;194;855;107;799;252;267;99;108
V.austriaca-jq;SALA124582;65;2500;0;1533;160;958;1372;173;793;2505;2298;109;1325;189;1027;244;1165;218;534;469;333;0;0;25;1213;125;970;597;145;412;3267;1569;208;562;581;1092;299;1479;236;627;221;200;0;0
V.austriaca-jq;SALA124584;40;5033;38;1056;68;1553;958;97;988;2117;2415;88;1975;107;495;428;336;169;199;630;433;139;96;0;1103;62;1779;808;75;1077;2372;1629;146;1102;215;1093;217;588;141;417;403;367;0;146
V.austriaca-jq;E32508;15;2367;0;885;39;2269;1076;49;2196;1595;1672;95;1185;135;184;867;339;105;323;471;533;26;276;0;85;42;202;235;50;470;1227;416;295;298;412;476;258;526;82;641;233;500;0;0
V.austriaca-jq;K/Cook/21-VII-1959;57;3500;0;825;92;897;1218;149;817;1943;1944;99;1596;122;824;136;482;278;173;403;567;148;239;64;362;105;345;650;120;542;1745;801;218;765;228;1017;172;599;187;320;291;267;0;68
V.austriaca-jq;K/Rechinger & Scheffer/26-VII-1933;84;4750;0;717;66;1086;930;82;1134;1437;1401;103;1227;117;259;555;365;135;270;394;450;0;246;84;548;123;446;351;119;295;2154;851;253;814;265;1165;185;727;159;457;296;200;0;0
V.austriaca-jq;SALA124610;43;5050;0;890;123;724;1064;157;678;2169;2010;108;1415;153;391;555;271;277;98;800;400;225;579;0;420;82;512;126;110;115;1957;735;266;457;428;407;481;690;324;213;284;250;0;0
V.austriaca-jq;SALA124607;42;3667;0;974;77;1265;1074;114;942;1567;1910;82;1344;117;656;239;493;142;347;318;400;62;114;0;612;66;927;824;93;886;1613;881;183;839;192;410;393;512;153;335;315;450;0;140
