SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.sennenii;SALA93479(1);0.77;0;0.57;0;0.96;0;13.4;12.64;1.76;0;0.87;0;6.66;1.8;5.53;1.66;3.89;7.74;1.66;;1.89;;5;0
V.sennenii;SALA93479(2);1.6;0;0.53;0;0.65;0;13.57;8.85;0.86;0;0.64;0;4.6;1.2;4.57;1.01;6.77;6.8;2.06;;1.79;;5;0
V.sennenii;SALA93479(3);0;0;0.66;0;0.49;0;17.79;11.2;0.66;0;0.73;0;4.43;1.85;3.53;1.85;7.19;5.6;2.47;;2.28;;6;0
V.sennenii;SALA93479;79;0;59;0;70;0;1492;1090;109;0;75;0;523;162;454;151;595;671;206;;199;;533;0
V.sennenii;SALA93485(1);0;0;0.44;0;0.47;0;15.75;19.94;0.49;0;0.4;0;4.33;1.26;3.78;1.25;7.37;12.93;2.53;;2.31;;5;0
V.sennenii;SALA93485(2);0;;0.69;;0.67;;20.77;;0.72;;0.69;;5.96;;5.26;;4.2;;2.84;;1.7;;7;
V.sennenii;SALA93485;0;0;57;0;57;0;1826;1994;61;0;55;0;515;126;452;125;579;1293;269;;201;;600;0
V.sennenii;SALA93487(1);0;0;0.59;0.55;1.39;0;21.49;14.43;0.85;0.52;0.92;0;10.44;2.53;9.29;2.28;6.27;5.27;3.74;5.01;3.66;1.64;7;1
V.sennenii;SALA93487(2);0;0;0.69;0;0.72;0;9.07;9.37;0.49;0;0.42;0;4.37;1.8;4.01;1.8;2.72;4.39;1.93;;1.9;1.38;5;0
V.sennenii;SALA93487;0;0;64;28;106;0;1528;1190;67;26;67;0;741;217;665;204;450;483;284;501;278;151;600;50
V.sennenii;SEST38691(1);0.72;0;0.72;0;0.72;0;19.87;22.88;0.45;0;0.41;0;6.13;3.44;5.46;2.52;5.32;6.93;5.81;;3.31;;5;0
V.sennenii;SEST38691(2);0;0;0.83;0;0.86;0;22.71;24.08;0.78;0;0.84;0;7.47;4.37;5.47;3.88;6.19;10.88;11.03;;4.83;;5;0
V.sennenii;SEST38691(3);0;0;0.89;0;0.98;0;22.42;19.56;0.66;0;0.64;0;7.14;2.45;6.52;2.45;5.86;9.48;5.73;;3.91;;7;0
V.sennenii;SEST38691;24;0;81;0;85;0;2166;2217;63;0;63;0;691;342;582;295;579;910;752;;402;;567;0
V.sennenii;FCO04428(1);0;0;1.25;0.49;1.22;0.39;18.48;10.42;1.23;0.55;1.21;0.65;10.78;2.02;9.65;1.9;5.67;5.12;2.1;1.82;1.79;1.51;7;4
V.sennenii;FCO04428(2);0;0;0.73;0;0.72;0;22.47;18.46;0.94;0;0.68;0;6.4;2.94;5.96;2.75;5.23;4.1;2.99;;2.97;;8;0
V.sennenii;FCO04428;0;0;99;25;97;20;2048;1444;109;28;95;33;859;248;781;233;545;461;255;182;238;151;750;200
V.sennenii;MA532538(1);0;0;0.47;0;0.82;0;17.52;14.33;1.03;0;0.74;0;5.75;2.18;5.01;1.91;6.27;8.64;3;;3.02;;8;0
V.sennenii;MA532538(2);0;0;0.71;0;0.8;0;19.08;13.68;0.43;0;0.44;0;4.03;2.11;3.9;1.92;8.82;5.68;3.32;;2.62;;9;0
V.sennenii;MA532538(3);0;0;0.7;0;0.44;0;21.8;18.08;0.77;0;1.06;0;6.12;2.59;6.05;2.29;7.35;11.93;4.77;;3.99;;7;0
V.sennenii;MA532538;0;0;63;0;69;0;1947;1536;74;0;75;0;530;229;499;204;748;875;370;;321;;800;0
V.tenuifolia fontqueri;SALA95041(1);1.1;0;0.86;0.56;0.82;0.37;12.89;8.81;0.81;3.51;0.5;1.91;4.4;7.89;4.19;1.84;6.77;1.75;4.39;3.74;3.32;1.18;2;3
V.tenuifolia fontqueri;SALA95041(2);0.59;0;0.43;0.41;0.61;0.65;8.77;9.17;3.3;1.07;1.46;1;3.75;1.84;2.73;1.8;3.7;3.33;2.74;4.17;1;0.91;3;3
V.tenuifolia fontqueri;SALA95041(3);0;0;0.94;0.42;0.97;0.84;11.88;10.07;0.95;0.26;1.12;0.86;4.5;1.89;3.78;1.82;5.07;7.36;3.15;4.42;2.05;1.43;2;3
